stage	i	j	delta41	delta42	a41_float	a42_float	a41_rational	a42_rational	status	strict_target	rho	max_real	max_imag	err_Dr	err_Dr3	err_Dr5	err_Dr7	min_s	Vb_pd	V_full_pd	reason
coarse	-8	-7	-8.0e-5	-7.0e-5	-7.962934183851815e-5	-7.072257890760475e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	-385850779913616240262318882314278526287246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	-6	-8.0e-5	-6.0e-5	-7.962934183851815e-5	-6.0722578907604755e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	-165646210812499091030962360006495968239427083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	-5	-8.0e-5	-5.0e-5	-7.962934183851815e-5	-5.0722578907604755e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	-55346812667276024772306111542341069334092361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	-4	-8.0e-5	-4.0e-5	-7.962934183851815e-5	-4.072257890760475e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	-55543926261940516415284098852604689215517361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	-3	-8.0e-5	-3.0e-5	-7.962934183851815e-5	-3.072257890760475e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	-167617346759144007460742233109132167053677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	-2	-8.0e-5	-2.0e-5	-7.962934183851815e-5	-2.072257890760475e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	-56529494235262974630174035403922788622642361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	-1	-8.0e-5	-1.0e-5	-7.962934183851815e-5	-1.0722578907604752e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	-58500630181907891059953908506558987436892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	0	-8.0e-5	0.0	-7.962934183851815e-5	-7.225789076047524e-7	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	-39422718932898328595597462052723976285//54558358288618058200394162301286589808392361	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	1	-8.0e-5	1.0e-5	-7.962934183851815e-5	9.277421092395248e-6	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	50616086395328225340834416096014192179892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-8	2	-8.0e-5	2.0e-5	-7.962934183851815e-5	1.927742109239525e-5	-24343879357786781050615183879756366813001317//305714938686221877847036254274450718753922712500	52587222341973141770614289198650390994142361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
